"Name","Translation"
"aabha","आभा"
"aabid","आबिद"
"aabida","आबिदा"
"aadesh","आदेश"
"aadhira","आधिर"
"aadi","आदि"
"aadil","आदिल"
"aadya","आद्या"
"aaenab","आएनाब"
"aafreen","आफरीन"
"aafrin","आफरीन"
"aaftaab","आफ्ताब"
"aagand","आगंद"
"aajad","आजाद"
"aajiv","आजीव"
"aakanksha","आकांक्षा"
"aakar","आकार"
"aakas","आकाश"
"aakash","आकाश"
"aalam","आलम"
"aaliya","आलिया"
"aamil","आमिल"
"aamin","आमिन"
"aamir","आमिर"
"aamod","आमोद"
"aamosh","आमोश"
"aamrin","आमरिन"
"aanad","आनंद"
"aanamika","आनमिका"
"aanand","आनंद"
"aanchal","आंचल"
"aanik","आनिक"
"aanil","आनिल"
"aansi","आंसी"
"aansu","आंसू"
"aanya","आन्या"
"aarati","आरती"
"aarav","आरव"
"aardhna","आरधना"
"aarif","आरिफ"
"aarifun","आरिफून"
"aarti","आरती"
"aarushi","आरुषी"
"aash","आश"
"aashia","आशिया"
"aashif","आशिफ"
"aashish","आशीष"
"aashiya","आशिया"
"aashu","आशु"
"aasif","आसिफ"
"aasim","आसिम"
"aasmin","आस्मिन"
"aastha","आस्था"
"aasu","आसु"
"aatam","आतम"
"aatif","आतिफ"
"aatikun","आतिकून"
"aatir","आतिर"
"aavesh","आवेश"
"aayana","आयना"
"aayesha","आयेशा"
"aaysha","आयशा"
"aayush","आयुष"
"abash","अबाश"
"abbal","अब्बल"
"abbas","अब्बास"
"abdul","अब्दुल"
"abdullah","अब्दुल्लाह"
"abha","आभा"
"abhaki","अभाकि"
"abhay","अभय"
"abhaysingh","अभयसिंह"
"abhi","अभि"
"abhijeet","अभिजीत"
"abhijit","अभिजित"
"abhilash","अभिलाश"
"abhilasha","अभिलाषा"
"abhimanyu","अभिमन्यु"
"abhinandan","अभिनंदन"
"abhinash","अभिनाश"
"abhinav","अभिनव"
"abhinay","अभिनय"
"abhiraj","अभिराज"
"abhisek","अभिसेक"
"abhisekh","अभिसेख"
"abhishek","अभिषेक"
"abhishekh","अभिशेख"
"abhishik","अभिशिक"
"abid","आबिद"
"abida","अबीदा"
"abishak","अबिशक"
"abrar","अबरार"
"abu","अबू"
"achin","आचिन"
"adarsh","आदर्श"
"adersen","एडरसेन"
"adesh","आदेश"
"adhish","आधिश"
"adi","आदि"
"adiba","अदीबा"
"adil","आदिल"
"aditi","अदिति"
"aditiya","अदितिया"
"aditya","आदित्य"
"adityalok","आदित्यलोक"
"adnan","अदनान"
"advik","अद्विक"
"aesha","आइशा"
"affan","आफ़्फ़ान"
"afjal","अफजल"
"afrin","आफ़्रीन"
"afsana","अफसाना"
"afsari","अफ़सारी"
"afshar","अफ़्शार"
"agyapad","अज्ञापद"
"ahamad","अहमद"
"ahmad","अहमद"
"ahmed","अहमद"
"ahsan","अहसान"
"ahupendra","आहूपेंद्र"
"aijay","आइजय"
"aishwarya","ऐश्वर्या"
"ajad","अजाद"
"ajara","अजरा"
"ajay","अजय"
"ajaypal","अजयपाल"
"ajeem","अजीम"
"ajeet","अजीत"
"ajima","अजीमा"
"ajit","अजित"
"ajkati","अजकति"
"ajmal","अजमल"
"ajmeri","अजमेरी"
"ajmit","अजमित"
"ajnabi","अजनबी"
"ajnoor","अजनूर"
"ajra","अजरा"
"akaash","आकाश"
"akansha","आकांशा"
"akash","आकाश"
"akashya","आकाश्य"
"akassh","अकाश"
"akeel","अकील"
"akhalak","अखलक"
"akhatari","अखतारी"
"akhil","अखिल"
"akhilesh","अखिलेश"
"akhlaq","अखलाक"
"akhlesh","अख्लेश"
"akhtar","अख्तर"
"akhtari","अख्तारी"
"akil","अकील"
"akilesh","अकिलेश"
"akkash","अक्काश"
"akkni","अक्कनी"
"akshay","अक्षय"
"akthari","अक्तारी"
"al0k","आलोक"
"alahbasri","अलहबसरी"
"alam","आलम"
"alaudin","अलाउदीन"
"albaksha","अलबक्षा"
"albina","अलबीना"
"aleesha","आलीशा"
"alema","आलीमा"
"alhamdi","अलहमदी"
"alia","आलिया"
"alijan","अलीजान"
"alim","आलिम"
"alima","आलिमा"
"alina","अलीना"
"alisha","आलिशा"
"aliya","अलिया"
"alka","अलका"
"allabaksh","अल्लाबक्ष"
"allaraji","अल्लाराजी"
"allauddin","अल्लाउद्दीन"
"alma","आलमा"
"almina","अलमीना"
"alok","आलोक"
"alseepa","अलसीपा"
"altmash","अल्तमश"
"aman","अमन"
"amana","अमाना"
"amandeep","अमनदीप"
"amanjeet","अमनजीत"
"amar","अमर"
"amarchand","अमरचंद"
"amardeep","अमरदीप"
"amarendra","अमरेन्द्र"
"amarin","अमरिन"
"amarjit","अमरजीत"
"amarmula","अमरमुला"
"amarnath","अमरनाथ"
"amart","अमर्त"
"amartya","अमर्त्य"
"amarvesh","अमर्वेश"
"amber","अम्बर"
"ambika","अम्बिका"
"ambiya","अम्बिया"
"ameer","अमीर"
"ameera","अमीरा"
"amena","अमीना"
"amida","अमिदा"
"amie","अमी"
"amijan","अमीजान"
"amil","अमिल"
"amin","अमीन"
"amir","अमीर"
"amiraka","अमीरका"
"amisha","अमीशा"
"amit","अमित"
"amita","अमिता"
"amitabh","अमिताभ"
"amjat","अमजत"
"amlesh","अम्लेश"
"amna","अमना"
"amol","अमोल"
"amot","अमोट"
"amrat","अम्रत"
"amratalal","अम्रतलाल"
"amreen","अमरीन"
"amri","अम्री"
"amrik","अमरिक"
"amrin","अमरीन"
"amrish","अमृश"
"amrita","अमृता"
"amritha","अमृता"
"amrjeet","अमरजीत"
"amrooti","अमृति"
"amrta","अमृत"
"anam","आनम"
"anand","आनंद"
"anandi","आनंदी"
"anandu","आनंदु"
"anantram","आनंतराम"
"ananya","अनन्या"
"anarkali","अनारकली"
"anaro","अनरो"
"anaya","अनया"
"anchal","आँचल"
"andhav","अंधव"
"aneeta","अनीता"
"anekha","अनेखा"
"angad","अंगद"
"angan","आंगन"
"angda","अंगदा"
"angreg","अंग्रेज"
"anikesh","अनिकेश"
"anikt","अनिक्त"
"anil","अनिल"
"anirudh","अनिरुद्ध"
"anisha","अनिषा"
"anishka","अनिष्का"
"anja","अंजा"
"anjal","अंजल"
"anjaly","अंजली"
"anjan","अंजन"
"anjana","अंजना"
"anjani","अंजनी"
"anjara","अंजरा"
"anjeev","अंजीव"
"anjila","अंजिला"
"anjli","अंजली"
"anjna","अंजना"
"anjrej","अंजरेज"
"anju","अंजू"
"anjuman","अंजुमन"
"ankaj","अंकज"
"ankeet","अंकीत"
"ankita","अंकिता"
